gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000015340,Cybb,"cytochrome b-245, beta polypeptide",NCBIGene:13058,
ENSMUSG00000061065,H2al1o,H2A histone family member L1O,NCBIGene:333452,
ENSMUSG00000031176,Dynlt3,dynein light chain Tctex-type 3,NCBIGene:67117,
ENSMUSG00000040456,Hypm,huntingtin interacting protein M,NCBIGene:67334,
ENSMUSG00000048994,H2al3,H2A histone family member L3,NCBIGene:385317,
ENSMUSG00000054453,Sytl5,synaptotagmin-like 5,NCBIGene:236643,
ENSMUSG00000090084,Srpx,sushi-repeat-containing protein,NCBIGene:51795,
ENSMUSG00000031174,Rpgr,retinitis pigmentosa GTPase regulator,NCBIGene:19893,
ENSMUSG00000031173,Otc,ornithine transcarbamylase,NCBIGene:18416,
ENSMUSG00000058254,Tspan7,tetraspanin 7,NCBIGene:21912,
ENSMUSG00000008035,Mid1ip1,Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish)),NCBIGene:68041,
ENSMUSG00000085587,Gm14493,predicted gene 14493,,
ENSMUSG00000100626,H2al1a,H2A histone family member L1A,NCBIGene:100042922,
ENSMUSG00000101819,H2al1b,H2A histone family member L1B,NCBIGene:100042927,
ENSMUSG00000096097,H2al1c,H2A histone family member L1C,NCBIGene:100042929,no expression
ENSMUSG00000094904,H2al1d,H2A histone family member L1D,NCBIGene:100042931,no expression
ENSMUSG00000095413,H2al1e,H2A histone family member L1E,NCBIGene:547160,no expression
ENSMUSG00000095655,H2al1f,H2A histone family member L1F,NCBIGene:100042939,no expression
ENSMUSG00000095662,H2al1g,H2A histone family member L1G,NCBIGene:100042943,
ENSMUSG00000099443,H2al1h,H2A histone family member L1H,NCBIGene:100042944,no expression
ENSMUSG00000095445,H2al1i,H2A histone family member L1I,NCBIGene:100042946,no expression
ENSMUSG00000069038,H2al1j,H2A histone family member L1J,NCBIGene:236663,
ENSMUSG00000040363,Bcor,BCL6 interacting corepressor,NCBIGene:71458,
ENSMUSG00000087591,Gm14635,predicted gene 14635,NCBIGene:100043946,
ENSMUSG00000031007,Atp6ap2,"ATPase, H+ transporting, lysosomal accessory protein 2",NCBIGene:70495,
ENSMUSG00000044148,1810030O07Rik,RIKEN cDNA 1810030O07 gene,NCBIGene:69155,
ENSMUSG00000064127,Med14,mediator complex subunit 14,NCBIGene:26896,
ENSMUSG00000085891,Gm14634,predicted gene 14634,NCBIGene:552913,
ENSMUSG00000087424,5730405O15Rik,RIKEN cDNA 5730405O15 gene,NCBIGene:70489,
ENSMUSG00000031010,Usp9x,"ubiquitin specific peptidase 9, X chromosome",NCBIGene:22284,
ENSMUSG00000100714,2010308F09Rik,RIKEN cDNA 2010308F09 gene,NCBIGene:72122,
ENSMUSG00000000787,Ddx3x,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked",NCBIGene:13205,
ENSMUSG00000051228,Nyx,nyctalopin,NCBIGene:236690,
ENSMUSG00000031012,Cask,calcium/calmodulin-dependent serine protein kinase (MAGUK family),NCBIGene:12361,
ENSMUSG00000040229,Gpr34,G protein-coupled receptor 34,NCBIGene:23890,
ENSMUSG00000047678,Gpr82,G protein-coupled receptor 82,NCBIGene:319200,
ENSMUSG00000078346,H2al1n,H2A histone family member L1N,NCBIGene:385328,
ENSMUSG00000084907,Gm14505,predicted gene 14505,,
ENSMUSG00000086048,Drr1,developmentally regulated repeat element-containing transcript 1,,
ENSMUSG00000023257,Cypt1,cysteine-rich perinuclear theca 1,NCBIGene:66742,
ENSMUSG00000025037,Maoa,monoamine oxidase A,NCBIGene:17161,
ENSMUSG00000040147,Maob,monoamine oxidase B,NCBIGene:109731,
ENSMUSG00000040138,Ndp,Norrie disease (pseudoglioma) (human),NCBIGene:17986,
ENSMUSG00000025038,Efhc2,EF-hand domain (C-terminal) containing 2,NCBIGene:74405,
ENSMUSG00000025040,Fundc1,FUN14 domain containing 1,NCBIGene:72018,
ENSMUSG00000025043,Dusp21,dual specificity phosphatase 21,NCBIGene:73547,
ENSMUSG00000037369,Kdm6a,lysine (K)-specific demethylase 6A,NCBIGene:22289,
ENSMUSG00000037358,Dipk2b,divergent protein kinase domain 2B,NCBIGene:75905,
ENSMUSG00000073274,Gm14636,predicted gene 14636,,
ENSMUSG00000097497,Gm26652,"predicted gene, 26652",,
ENSMUSG00000068149,Tex13c3,TEX13 family member C3,NCBIGene:278255,
ENSMUSG00000037347,Chst7,carbohydrate (N-acetylglucosamino) sulfotransferase 7,NCBIGene:60322,
ENSMUSG00000037341,Slc9a7,"solute carrier family 9 (sodium/hydrogen exchanger), member 7",NCBIGene:236727,
ENSMUSG00000060090,Rp2,retinitis pigmentosa 2 homolog,NCBIGene:19889,
ENSMUSG00000037315,Jade3,jade family PHD finger 3,NCBIGene:382207,
ENSMUSG00000023070,Rgn,regucalcin,NCBIGene:19733,
ENSMUSG00000031059,Ndufb11,NADH:ubiquinone oxidoreductase subunit B11,NCBIGene:104130,
ENSMUSG00000031060,Rbm10,RNA binding motif protein 10,NCBIGene:236732,
ENSMUSG00000001924,Uba1,ubiquitin-like modifier activating enzyme 1,NCBIGene:22201,
ENSMUSG00000031065,Cdk16,cyclin-dependent kinase 16,NCBIGene:18555,
ENSMUSG00000031066,Usp11,ubiquitin specific peptidase 11,NCBIGene:236733,
ENSMUSG00000001127,Araf,"Araf proto-oncogene, serine/threonine kinase",NCBIGene:11836,
ENSMUSG00000037217,Syn1,synapsin I,NCBIGene:20964,
ENSMUSG00000001131,Timp1,tissue inhibitor of metalloproteinase 1,NCBIGene:21857,
ENSMUSG00000001128,Cfp,complement factor properdin,NCBIGene:18636,
ENSMUSG00000009406,Elk1,"ELK1, member of ETS oncogene family",NCBIGene:13712,
ENSMUSG00000001134,Uxt,ubiquitously expressed prefoldin like chaperone,NCBIGene:22294,
