gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000020636,Allc,allantoicase,NCBIGene:94041,
ENSMUSG00000036655,Colec11,collectin sub-family member 11,NCBIGene:71693,
ENSMUSG00000061477,Rps7,ribosomal protein S7,NCBIGene:20115,
ENSMUSG00000020630,Rnaseh1,ribonuclease H1,NCBIGene:19819,
ENSMUSG00000020629,Adi1,acireductone dioxygenase 1,NCBIGene:104923,
ENSMUSG00000020628,Trappc12,trafficking protein particle complex 12,NCBIGene:217449,
ENSMUSG00000036613,Eipr1,EARP complex and GARP complex interacting protein 1,NCBIGene:380752,
ENSMUSG00000113886,Gm48905,"predicted gene, 48905",,
ENSMUSG00000113387,Gm31508,"predicted gene, 31508",NCBIGene:102633758,
ENSMUSG00000113544,4833405L11Rik,RIKEN cDNA 4833405L11 gene,,
ENSMUSG00000113986,Gm31333,"predicted gene, 31333",NCBIGene:102633526,
ENSMUSG00000112390,Gm20208,"predicted gene, 20208",,
ENSMUSG00000061911,Myt1l,myelin transcription factor 1-like,NCBIGene:17933,
ENSMUSG00000112663,C630031E19Rik,RIKEN cDNA C630031E19 gene,NCBIGene:328075,
ENSMUSG00000020674,Pxdn,peroxidasin,NCBIGene:69675,
ENSMUSG00000020673,Tpo,thyroid peroxidase,NCBIGene:22018,
ENSMUSG00000085472,Gm15691,predicted gene 15691,NCBIGene:105244821,
ENSMUSG00000020672,Sntg2,"syntrophin, gamma 2",NCBIGene:268534,
ENSMUSG00000102098,2310016D03Rik,RIKEN cDNA 2310016D03 gene,NCBIGene:69566,
ENSMUSG00000100674,Gm28806,predicted gene 28806,,
ENSMUSG00000043061,Tmem18,transmembrane protein 18,NCBIGene:211986,
ENSMUSG00000054204,Alkal2,ALK and LTK ligand 2,NCBIGene:100294583,
ENSMUSG00000044573,Acp1,"acid phosphatase 1, soluble",NCBIGene:11431,
ENSMUSG00000020669,Sh3yl1,Sh3 domain YSC-like 1,NCBIGene:24057,
ENSMUSG00000036136,Fam110c,"family with sequence similarity 110, member C",NCBIGene:104943,
ENSMUSG00000112876,Gm32443,"predicted gene, 32443",,
ENSMUSG00000095953,6030469F06Rik,RIKEN cDNA 6030469F06 gene,NCBIGene:100043065,
ENSMUSG00000112187,Gm6993,predicted gene 6993,NCBIGene:102635514,
ENSMUSG00000002900,Lamb1,laminin B1,NCBIGene:16777,
ENSMUSG00000020664,Dld,dihydrolipoamide dehydrogenase,NCBIGene:13382,
ENSMUSG00000001225,Slc26a3,"solute carrier family 26, member 3",NCBIGene:13487,
ENSMUSG00000020659,Cbll1,Casitas B-lineage lymphoma-like 1,NCBIGene:104836,
ENSMUSG00000099851,Gm29542,predicted gene 29542,,
ENSMUSG00000020651,Slc26a4,"solute carrier family 26, member 4",NCBIGene:23985,
ENSMUSG00000020650,Bcap29,B cell receptor associated protein 29,NCBIGene:12033,
ENSMUSG00000020648,Dus4l,dihydrouridine synthase 4-like (S. cerevisiae),NCBIGene:71916,
ENSMUSG00000035933,Cog5,component of oligomeric golgi complex 5,NCBIGene:238123,
ENSMUSG00000044067,Gpr22,G protein-coupled receptor 22,NCBIGene:73010,
ENSMUSG00000111987,Gm48809,"predicted gene, 48809",,
ENSMUSG00000002996,Hbp1,high mobility group box transcription factor 1,NCBIGene:73389,
ENSMUSG00000002997,Prkar2b,"protein kinase, cAMP dependent regulatory, type II beta",NCBIGene:19088,
ENSMUSG00000112569,Gm33111,"predicted gene, 33111",NCBIGene:102635888,
ENSMUSG00000112071,5430401H09Rik,RIKEN cDNA 5430401H09 gene,NCBIGene:100504461,
ENSMUSG00000020573,Pik3cg,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",NCBIGene:30955,
ENSMUSG00000112578,Gm33308,"predicted gene, 33308",NCBIGene:102636165,
ENSMUSG00000090946,Ccdc71l,coiled-coil domain containing 71 like,NCBIGene:72123,
ENSMUSG00000112865,Gm40375,"predicted gene, 40375",,
ENSMUSG00000020572,Nampt,nicotinamide phosphoribosyltransferase,NCBIGene:59027,
ENSMUSG00000112166,Gm47948,"predicted gene, 47948",,
ENSMUSG00000097494,4933406C10Rik,RIKEN cDNA 4933406C10 gene,NCBIGene:74076,
ENSMUSG00000020570,Sypl,synaptophysin-like protein,NCBIGene:19027,
ENSMUSG00000035860,Cdhr3,cadherin-related family member 3,NCBIGene:68764,
ENSMUSG00000052125,F730043M19Rik,RIKEN cDNA F730043M19 gene,NCBIGene:320046,
ENSMUSG00000084979,Gm16267,predicted gene 16267,,
ENSMUSG00000020564,Atxn7l1,ataxin 7-like 1,NCBIGene:380753,
ENSMUSG00000079143,Atxn7l1os1,"ataxin 7-like 1, opposite strand 1",,
ENSMUSG00000085664,Atxn7l1os2,"ataxin 7-like 1, opposite strand 2",NCBIGene:75836,
ENSMUSG00000020562,Efcab10,EF-hand calcium binding domain 10,NCBIGene:75040,
ENSMUSG00000020561,Twistnb,twist basic helix-loop-helix transcription factor 1 neighbor,NCBIGene:28071,
ENSMUSG00000114082,Gm40383,"predicted gene, 40383",,
ENSMUSG00000046518,Ferd3l,Fer3 like bHLH transcription factor,NCBIGene:114712,
ENSMUSG00000035799,Twist1,twist basic helix-loop-helix transcription factor 1,NCBIGene:22160,
ENSMUSG00000004698,Hdac9,histone deacetylase 9,NCBIGene:79221,
ENSMUSG00000113386,Gm47357,"predicted gene, 47357",,
ENSMUSG00000092305,Prps1l1,phosphoribosyl pyrophosphate synthetase 1-like 1,NCBIGene:75456,
ENSMUSG00000020590,Snx13,sorting nexin 13,NCBIGene:217463,
ENSMUSG00000019256,Ahr,aryl-hydrocarbon receptor,NCBIGene:11622,
ENSMUSG00000113741,Gm48236,"predicted gene, 48236",,
ENSMUSG00000113580,Gm48237,"predicted gene, 48237",,
ENSMUSG00000113548,Gm34047,"predicted gene, 34047",,
ENSMUSG00000113985,9130015A21Rik,RIKEN cDNA 9130015A21 gene,NCBIGene:71581,
ENSMUSG00000036231,Agr3,anterior gradient 3,NCBIGene:403205,
ENSMUSG00000020581,Agr2,anterior gradient 2,NCBIGene:23795,
ENSMUSG00000020577,Tspan13,tetraspanin 13,NCBIGene:66109,
ENSMUSG00000020547,Bzw2,basic leucine zipper and W2 domains 2,NCBIGene:66912,
ENSMUSG00000036188,Ankmy2,ankyrin repeat and MYND domain containing 2,NCBIGene:217473,
ENSMUSG00000020545,Lrrc72,leucine rich repeat containing 72,NCBIGene:71156,
ENSMUSG00000113832,Gm40392,"predicted gene, 40392",NCBIGene:105244859,
ENSMUSG00000036169,Sostdc1,sclerostin domain containing 1,NCBIGene:66042,
ENSMUSG00000114141,Gm34215,"predicted gene, 34215",,
ENSMUSG00000091007,D630036H23Rik,RIKEN cDNA D630036H23 gene,,
ENSMUSG00000043153,Crppa,CDP-L-ribitol pyrophosphorylase A,NCBIGene:75847,
ENSMUSG00000113064,Gm40394,"predicted gene, 40394",,
ENSMUSG00000113507,Gm48613,"predicted gene, 48613",,
ENSMUSG00000114052,Gm48616,"predicted gene, 48616",,
ENSMUSG00000113764,Gm48617,"predicted gene, 48617",,
ENSMUSG00000101067,Gm29007,predicted gene 29007,NCBIGene:105244862,
ENSMUSG00000036144,Meox2,mesenchyme homeobox 2,NCBIGene:17286,
ENSMUSG00000050103,Agmo,alkylglycerol monooxygenase,NCBIGene:319660,
ENSMUSG00000113005,Gm34408,"predicted gene, 34408",NCBIGene:102637649,
ENSMUSG00000036095,Dgkb,"diacylglycerol kinase, beta",NCBIGene:217480,
ENSMUSG00000113608,Gm48715,"predicted gene, 48715",,
ENSMUSG00000112967,4930428E07Rik,RIKEN cDNA 4930428E07 gene,NCBIGene:73867,
ENSMUSG00000004151,Etv1,ets variant 1,NCBIGene:14009,
ENSMUSG00000113933,Gm34611,"predicted gene, 34611",,
ENSMUSG00000113092,Gm34662,"predicted gene, 34662",NCBIGene:102637984,
ENSMUSG00000113272,Gm34809,"predicted gene, 34809",NCBIGene:102638187,
ENSMUSG00000114079,Gm47855,"predicted gene, 47855",,
ENSMUSG00000113343,Gm34923,"predicted gene, 34923",,
ENSMUSG00000113384,Gm47859,"predicted gene, 47859",,
ENSMUSG00000113874,Gm47868,"predicted gene, 47868",,
ENSMUSG00000047446,Arl4a,ADP-ribosylation factor-like 4A,NCBIGene:11861,
ENSMUSG00000086315,Arl4aos,"ADP-ribosylation factor-like 4A, opposite strand",NCBIGene:100043606,
ENSMUSG00000002565,Scin,scinderin,NCBIGene:20259,
ENSMUSG00000071342,Lsmem1,leucine-rich single-pass membrane protein 1,NCBIGene:380755,
ENSMUSG00000090387,Gm17056,predicted gene 17056,,
ENSMUSG00000001627,Ifrd1,interferon-related developmental regulator 1,NCBIGene:15982,
ENSMUSG00000090582,Gm17024,predicted gene 17024,,
ENSMUSG00000035983,Gm7008,predicted gene 7008,NCBIGene:629820,
ENSMUSG00000055917,Zfp277,zinc finger protein 277,NCBIGene:246196,
ENSMUSG00000035954,Dock4,dedicator of cytokinesis 4,NCBIGene:238130,
ENSMUSG00000056899,Immp2l,IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae),NCBIGene:93757,
ENSMUSG00000113994,Gm47375,"predicted gene, 47375",,
ENSMUSG00000113086,Gm47376,"predicted gene, 47376",,
ENSMUSG00000113454,Gm47373,"predicted gene, 47373",,
ENSMUSG00000113516,Gm47368,"predicted gene, 47368",,
ENSMUSG00000036295,Lrrn3,"leucine rich repeat protein 3, neuronal",NCBIGene:16981,
ENSMUSG00000113105,Gm47371,"predicted gene, 47371",,
ENSMUSG00000113370,Gm46348,"predicted gene, 46348",,
ENSMUSG00000113989,Gm47013,"predicted gene, 47013",,
ENSMUSG00000112898,Gm47020,"predicted gene, 47020",,
ENSMUSG00000112407,Gm33340,"predicted gene, 33340",NCBIGene:102636207,
ENSMUSG00000112904,Gm47030,"predicted gene, 47030",,
ENSMUSG00000112258,Gm10165,predicted gene 10165,,
ENSMUSG00000111960,Gm46349,"predicted gene, 46349",,
ENSMUSG00000014905,Dnajb9,DnaJ heat shock protein family (Hsp40) member B9,NCBIGene:27362,
ENSMUSG00000112547,Gm47096,"predicted gene, 47096",,
ENSMUSG00000036257,Pnpla8,patatin-like phospholipase domain containing 8,NCBIGene:67452,
ENSMUSG00000020598,Nrcam,neuronal cell adhesion molecule,NCBIGene:319504,
ENSMUSG00000046314,Stxbp6,syntaxin binding protein 6 (amisyn),NCBIGene:217517,
ENSMUSG00000086012,Gm15902,predicted gene 15902,,
ENSMUSG00000112112,Gm48508,"predicted gene, 48508",,
ENSMUSG00000092404,Gm9921,predicted gene 9921,,
ENSMUSG00000112054,Gm33680,"predicted gene, 33680",NCBIGene:102636677,
ENSMUSG00000112859,Gm48522,"predicted gene, 48522",,
ENSMUSG00000112174,Gm48535,"predicted gene, 48535",,
ENSMUSG00000112410,B230217J21Rik,RIKEN cDNA B230217J21 gene,,
ENSMUSG00000021047,Nova1,neuro-oncological ventral antigen 1,NCBIGene:664883,
ENSMUSG00000112232,Gm48578,"predicted gene, 48578",,
ENSMUSG00000112763,Gm34304,"predicted gene, 34304",NCBIGene:102637514,
ENSMUSG00000020950,Foxg1,forkhead box G1,NCBIGene:15228,
ENSMUSG00000104861,3110039M20Rik,RIKEN cDNA 3110039M20 gene,NCBIGene:67293,
ENSMUSG00000100844,1810007C17Rik,RIKEN cDNA 1810007C17 gene,NCBIGene:69054,
ENSMUSG00000112353,Gm40418,"predicted gene, 40418",NCBIGene:105244890,
ENSMUSG00000002688,Prkd1,protein kinase D1,NCBIGene:18760,
ENSMUSG00000112372,Gm48779,"predicted gene, 48779",,
ENSMUSG00000112685,Gm40421,"predicted gene, 40421",NCBIGene:105244893,
ENSMUSG00000111986,1700008C04Rik,RIKEN cDNA 1700008C04 gene,NCBIGene:75494,
ENSMUSG00000035293,G2e3,G2/M-phase specific E3 ubiquitin ligase,NCBIGene:217558,
ENSMUSG00000020952,Scfd1,Sec1 family domain containing 1,NCBIGene:76983,
ENSMUSG00000020953,Coch,cochlin,NCBIGene:12810,
ENSMUSG00000020954,Strn3,"striatin, calmodulin binding protein 3",NCBIGene:94186,
ENSMUSG00000020955,Ap4s1,"adaptor-related protein complex AP-4, sigma 1",NCBIGene:11782,
ENSMUSG00000035247,Hectd1,HECT domain E3 ubiquitin protein ligase 1,NCBIGene:207304,
ENSMUSG00000035181,Heatr5a,HEAT repeat containing 5A,NCBIGene:320487,
ENSMUSG00000020956,Dtd2,D-tyrosyl-tRNA deacylase 2,NCBIGene:328092,
ENSMUSG00000035148,Gpr33,G protein-coupled receptor 33,NCBIGene:14762,
ENSMUSG00000035142,Nubpl,nucleotide binding protein-like,NCBIGene:76826,
ENSMUSG00000112139,Gm47431,"predicted gene, 47431",,
ENSMUSG00000111982,Gm35135,"predicted gene, 35135",NCBIGene:102638611,
ENSMUSG00000112437,Gm35188,"predicted gene, 35188",,
ENSMUSG00000035133,Arhgap5,Rho GTPase activating protein 5,NCBIGene:11855,
ENSMUSG00000100315,1700031P21Rik,RIKEN cDNA 1700031P21 gene,NCBIGene:73278,
ENSMUSG00000112412,Gm35239,"predicted gene, 35239",,
ENSMUSG00000061603,Akap6,A kinase (PRKA) anchor protein 6,NCBIGene:238161,
ENSMUSG00000021010,Npas3,neuronal PAS domain protein 3,NCBIGene:27386,
ENSMUSG00000113179,1700030L22Rik,RIKEN cDNA 1700030L22 gene,,
ENSMUSG00000099407,1700060O08Rik,RIKEN cDNA 1700060O08 gene,,
ENSMUSG00000112549,Gm35818,"predicted gene, 35818",,
ENSMUSG00000035105,Egln3,egl-9 family hypoxia-inducible factor 3,NCBIGene:112407,
ENSMUSG00000112821,1700104L18Rik,RIKEN cDNA 1700104L18 gene,NCBIGene:73592,
ENSMUSG00000112705,Gm47552,"predicted gene, 47552",,
ENSMUSG00000113970,Gm7550,predicted gene 7550,,
ENSMUSG00000112053,Gm46328,"predicted gene, 46328",NCBIGene:108167971,
ENSMUSG00000113947,Gm10465,predicted gene 10465,,
ENSMUSG00000044408,Sptssa,"serine palmitoyltransferase, small subunit A",NCBIGene:104725,
ENSMUSG00000113096,Gm40884,"predicted gene, 40884",,
ENSMUSG00000054302,Eapp,E2F-associated phosphoprotein,NCBIGene:66266,
ENSMUSG00000005656,Snx6,sorting nexin 6,NCBIGene:72183,
ENSMUSG00000062929,Cfl2,"cofilin 2, muscle",NCBIGene:12632,
ENSMUSG00000113209,1700081N11Rik,RIKEN cDNA 1700081N11 gene,,
ENSMUSG00000035021,Baz1a,bromodomain adjacent to zinc finger domain 1A,NCBIGene:217578,
ENSMUSG00000092233,Gm20403,predicted gene 20403,,
ENSMUSG00000062198,2700097O09Rik,RIKEN cDNA 2700097O09 gene,NCBIGene:72658,
ENSMUSG00000073079,Srp54a,signal recognition particle 54A,NCBIGene:24067,
ENSMUSG00000095595,Fam177a,"family with sequence similarity 177, member A",NCBIGene:73385,
ENSMUSG00000112449,Srp54b,signal recognition particle 54B,NCBIGene:665155,
ENSMUSG00000094103,1700047I17Rik2,RIKEN cDNA 1700047I17 gene 2,NCBIGene:100101807,
ENSMUSG00000079108,Srp54c,signal recognition particle 54C,NCBIGene:100101806,
ENSMUSG00000021022,Ppp2r3c,"protein phosphatase 2, regulatory subunit B'', gamma",NCBIGene:59032,
ENSMUSG00000021023,Prorp,protein only RNase P catalytic subunit,NCBIGene:66132,
ENSMUSG00000021024,Psma6,"proteasome (prosome, macropain) subunit, alpha type 6",NCBIGene:26443,
ENSMUSG00000021025,Nfkbia,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha",NCBIGene:18035,
ENSMUSG00000112348,Gm36634,"predicted gene, 36634",,
ENSMUSG00000063129,Aldoart2,"aldolase 1 A, retrogene 2",NCBIGene:79459,
ENSMUSG00000045440,Insm2,insulinoma-associated 2,NCBIGene:56856,
ENSMUSG00000021027,Ralgapa1,"Ral GTPase activating protein, alpha subunit 1",NCBIGene:56784,
ENSMUSG00000012076,Brms1l,breast cancer metastasis-suppressor 1-like,NCBIGene:52592,
ENSMUSG00000112211,Gm47682,"predicted gene, 47682",,
ENSMUSG00000112164,Gm19990,"predicted gene, 19990",NCBIGene:100503961,
ENSMUSG00000021028,Mbip,MAP3K12 binding inhibitory protein 1,NCBIGene:217588,
ENSMUSG00000112343,Sfta3-ps,"surfactant associated 3, pseudogene",NCBIGene:104798,
ENSMUSG00000001496,Nkx2-1,NK2 homeobox 1,NCBIGene:21869,
ENSMUSG00000098172,Gm26973,"predicted gene, 26973",,
ENSMUSG00000092515,C87198,expressed sequence C87198,NCBIGene:97836,
ENSMUSG00000058669,Nkx2-9,NK2 homeobox 9,NCBIGene:18094,
ENSMUSG00000089894,Gm15524,predicted gene 15524,,
ENSMUSG00000001497,Pax9,paired box 9,NCBIGene:18511,
ENSMUSG00000035472,Slc25a21,"solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21",NCBIGene:217593,
ENSMUSG00000079104,Prps1l3,phosphoribosyl pyrophosphate synthetase 1-like 3,NCBIGene:328099,
ENSMUSG00000047022,Mipol1,mirror-image polydactyly 1,NCBIGene:73490,
ENSMUSG00000086372,Gm16246,predicted gene 16246,,
ENSMUSG00000035451,Foxa1,forkhead box A1,NCBIGene:15375,
ENSMUSG00000046782,Ttc6,tetratricopeptide repeat domain 6,NCBIGene:70846,
ENSMUSG00000085851,4921518K17Rik,RIKEN cDNA 4921518K17 gene,NCBIGene:78758,
ENSMUSG00000112911,BC042761,cDNA sequence BC042761,,
ENSMUSG00000112704,Gm46329,"predicted gene, 46329",NCBIGene:108167972,
ENSMUSG00000035431,Sstr1,somatostatin receptor 1,NCBIGene:20605,
ENSMUSG00000045930,Clec14a,"C-type lectin domain family 14, member a",NCBIGene:66864,
ENSMUSG00000112785,Gm47645,"predicted gene, 47645",,
ENSMUSG00000097443,Gm17529,"predicted gene, 17529",,
ENSMUSG00000020986,Sec23a,"SEC23 homolog A, COPII coat complex component",NCBIGene:20334,
ENSMUSG00000060121,Gemin2,gem nuclear organelle associated protein 2,NCBIGene:66603,
ENSMUSG00000020993,Trappc6b,trafficking protein particle complex 6B,NCBIGene:78232,
ENSMUSG00000020994,Pnn,pinin,NCBIGene:18949,
ENSMUSG00000021000,Mia2,MIA SH3 domain ER export factor 2,NCBIGene:338320,
ENSMUSG00000035329,Fbxo33,F-box protein 33,NCBIGene:70611,
ENSMUSG00000114112,Gm48301,"predicted gene, 48301",,
ENSMUSG00000113429,Gm20063,"predicted gene, 20063",NCBIGene:100504101,
ENSMUSG00000035653,Lrfn5,leucine rich repeat and fibronectin type III domain containing 5,NCBIGene:238205,
ENSMUSG00000113208,Gm48421,"predicted gene, 48421",,
ENSMUSG00000113152,Gm48422,"predicted gene, 48422",,
ENSMUSG00000043060,Fscb,fibrous sheath CABYR binding protein,NCBIGene:623046,
ENSMUSG00000047227,Gm527,predicted gene 527,NCBIGene:217648,
ENSMUSG00000020948,Klhl28,kelch-like 28,NCBIGene:66689,
ENSMUSG00000035614,Togaram1,TOG array regulator of axonemal microtubules 1,NCBIGene:328108,
ENSMUSG00000113298,Gm48559,"predicted gene, 48559",,
ENSMUSG00000035597,Prpf39,pre-mRNA processing factor 39,NCBIGene:328110,
ENSMUSG00000020949,Fkbp3,FK506 binding protein 3,NCBIGene:30795,
ENSMUSG00000055884,Fancm,"Fanconi anemia, complementation group M",NCBIGene:104806,
ENSMUSG00000047534,Mis18bp1,MIS18 binding protein 1,NCBIGene:217653,
ENSMUSG00000113228,4930471E15Rik,RIKEN cDNA 4930471E15 gene,,
ENSMUSG00000113233,Gm31063,"predicted gene, 31063",,
ENSMUSG00000035560,Wdr20rt,"WD repeat domain 20, retrogene",NCBIGene:70948,
ENSMUSG00000060499,Rpl10l,ribosomal protein L10-like,NCBIGene:238217,
ENSMUSG00000114093,Gm47979,"predicted gene, 47979",,
ENSMUSG00000034912,Mdga2,MAM domain containing glycosylphosphatidylinositol anchor 2,NCBIGene:320772,
ENSMUSG00000114010,Gm47432,"predicted gene, 47432",,
ENSMUSG00000113526,Gm47453,"predicted gene, 47453",,
ENSMUSG00000113867,Gm47456,"predicted gene, 47456",,
ENSMUSG00000113433,Gm47489,"predicted gene, 47489",,
ENSMUSG00000113320,Gm47515,"predicted gene, 47515",,
ENSMUSG00000113098,Gm2912,predicted gene 2912,,
ENSMUSG00000113716,Gm47518,"predicted gene, 47518",,
ENSMUSG00000113158,Gm31447,"predicted gene, 31447",NCBIGene:102633682,
ENSMUSG00000034892,Rps29,ribosomal protein S29,NCBIGene:20090,
ENSMUSG00000034883,Lrr1,leucine rich repeat protein 1,NCBIGene:69706,
ENSMUSG00000049751,Rpl36al,ribosomal protein L36A-like,NCBIGene:66483,
ENSMUSG00000043998,Mgat2,mannoside acetylglucosaminyltransferase 2,NCBIGene:217664,
ENSMUSG00000020973,Dnaaf2,"dynein, axonemal assembly factor 2",NCBIGene:109065,
ENSMUSG00000097061,9330151L19Rik,RIKEN cDNA 9330151L19 gene,NCBIGene:414085,
ENSMUSG00000020974,Pole2,"polymerase (DNA directed), epsilon 2 (p59 subunit)",NCBIGene:18974,
ENSMUSG00000113190,Gm47545,"predicted gene, 47545",,
ENSMUSG00000051890,Klhdc1,kelch domain containing 1,NCBIGene:271005,
ENSMUSG00000085539,Gm15561,predicted gene 15561,,
ENSMUSG00000020978,Klhdc2,kelch domain containing 2,NCBIGene:69554,
ENSMUSG00000020982,Nemf,nuclear export mediator factor,NCBIGene:66244,
ENSMUSG00000052673,Gm9887,predicted gene 9887,,
ENSMUSG00000044147,Arf6,ADP-ribosylation factor 6,NCBIGene:11845,
ENSMUSG00000113035,5830428M24Rik,RIKEN cDNA 5830428M24 gene,NCBIGene:76062,
ENSMUSG00000049882,Vcpkmt,valosin containing protein lysine (K) methyltransferase,NCBIGene:207965,
ENSMUSG00000034801,Sos2,SOS Ras/Rho guanine nucleotide exchange factor 2,NCBIGene:20663,
ENSMUSG00000020988,L2hgdh,L-2-hydroxyglutarate dehydrogenase,NCBIGene:217666,
ENSMUSG00000054894,Dmac2l,distal membrane arm assembly complex 2 like,NCBIGene:68055,
ENSMUSG00000020990,Cdkl1,cyclin-dependent kinase-like 1 (CDC2-related kinase),NCBIGene:71091,
ENSMUSG00000020992,4930512B01Rik,RIKEN cDNA 4930512B01 gene,,
ENSMUSG00000034761,Map4k5,mitogen-activated protein kinase kinase kinase kinase 5,NCBIGene:399510,
ENSMUSG00000021066,Atl1,atlastin GTPase 1,NCBIGene:73991,
ENSMUSG00000021067,Sav1,salvador family WW domain containing 1,NCBIGene:64010,
ENSMUSG00000021068,Nin,ninein,NCBIGene:18080,
ENSMUSG00000114099,Gm48695,"predicted gene, 48695",,
ENSMUSG00000090121,Abhd12b,abhydrolase domain containing 12B,NCBIGene:100504285,
ENSMUSG00000021069,Pygl,liver glycogen phosphorylase,NCBIGene:110095,
ENSMUSG00000085298,F730035M05Rik,RIKEN cDNA F730035M05 gene,NCBIGene:414124,
ENSMUSG00000021071,Trim9,tripartite motif-containing 9,NCBIGene:94090,
ENSMUSG00000113694,Gm48747,"predicted gene, 48747",,
ENSMUSG00000112945,Gm32151,"predicted gene, 32151",,
ENSMUSG00000021072,Tmx1,thioredoxin-related transmembrane protein 1,NCBIGene:72736,
ENSMUSG00000113944,Gm48847,"predicted gene, 48847",,
ENSMUSG00000113302,Gm32219,"predicted gene, 32219",,
ENSMUSG00000114005,Gm24474,"predicted gene, 24474",,
ENSMUSG00000114159,Gm48866,"predicted gene, 48866",,
ENSMUSG00000112950,Gm32369,"predicted gene, 32369",,
ENSMUSG00000113900,Gm40437,"predicted gene, 40437",,
ENSMUSG00000048285,Frmd6,FERM domain containing 6,NCBIGene:319710,
ENSMUSG00000113584,Gm46355,"predicted gene, 46355",NCBIGene:108168006,
ENSMUSG00000113707,Gm10457,predicted gene 10457,,
ENSMUSG00000021076,Actr10,ARP10 actin-related protein 10,NCBIGene:56444,
ENSMUSG00000060073,Psma3,"proteasome (prosome, macropain) subunit, alpha type 3",NCBIGene:19167,
ENSMUSG00000085622,3110056K07Rik,RIKEN cDNA 3110056K07 gene,,
ENSMUSG00000048118,Arid4a,AT rich interactive domain 4A (RBP1-like),NCBIGene:238247,
ENSMUSG00000021078,Tomm20l,translocase of outer mitochondrial membrane 20-like,NCBIGene:75266,
ENSMUSG00000021079,Timm9,translocase of inner mitochondrial membrane 9,NCBIGene:30056,
ENSMUSG00000034601,2700049A03Rik,RIKEN cDNA 2700049A03 gene,NCBIGene:76967,
ENSMUSG00000044548,Dact1,dishevelled-binding antagonist of beta-catenin 1,NCBIGene:59036,
ENSMUSG00000087109,4930474H06Rik,RIKEN cDNA 4930474H06 gene,,
ENSMUSG00000113278,Gm33016,"predicted gene, 33016",NCBIGene:102635759,
ENSMUSG00000113441,Gm40438,"predicted gene, 40438",,
ENSMUSG00000100668,1700083H02Rik,RIKEN cDNA 1700083H02 gene,NCBIGene:67348,
ENSMUSG00000113630,4930404H11Rik,RIKEN cDNA 4930404H11 gene,NCBIGene:73815,
ENSMUSG00000114028,9630002D21Rik,RIKEN cDNA 9630002D21 gene,,
ENSMUSG00000034574,Daam1,dishevelled associated activator of morphogenesis 1,NCBIGene:208846,
ENSMUSG00000043398,Gpr135,G protein-coupled receptor 135,NCBIGene:238252,
ENSMUSG00000019718,L3hypdh,L-3-hydroxyproline dehydratase (trans-),NCBIGene:67217,
ENSMUSG00000005078,Jkamp,JNK1/MAPK8-associated membrane protein,NCBIGene:104771,
ENSMUSG00000021086,Ccdc175,coiled-coil domain containing 175,NCBIGene:73936,
ENSMUSG00000021087,Rtn1,reticulon 1,NCBIGene:104001,
ENSMUSG00000021090,Lrrc9,leucine rich repeat containing 9,NCBIGene:78257,
ENSMUSG00000034501,Pcnx4,pecanex homolog 4,NCBIGene:67708,
ENSMUSG00000109482,Gm4756,predicted gene 4756,,
ENSMUSG00000021094,Dhrs7,dehydrogenase/reductase (SDR family) member 7,NCBIGene:66375,
ENSMUSG00000021096,Ppm1a,"protein phosphatase 1A, magnesium dependent, alpha isoform",NCBIGene:19042,
ENSMUSG00000113779,Gm33785,"predicted gene, 33785",,
ENSMUSG00000021098,4930447C04Rik,RIKEN cDNA 4930447C04 gene,NCBIGene:75801,
ENSMUSG00000021099,Six6,sine oculis-related homeobox 6,NCBIGene:20476,
ENSMUSG00000097010,Gm26709,"predicted gene, 26709",,
ENSMUSG00000051367,Six1,sine oculis-related homeobox 1,NCBIGene:20471,
ENSMUSG00000034460,Six4,sine oculis-related homeobox 4,NCBIGene:20474,
ENSMUSG00000021103,Mnat1,menage a trois 1,NCBIGene:17420,
ENSMUSG00000034442,Trmt5,TRM5 tRNA methyltransferase 5,NCBIGene:76357,
ENSMUSG00000044712,Slc38a6,"solute carrier family 38, member 6",NCBIGene:625098,
ENSMUSG00000113425,Gm48653,"predicted gene, 48653",,
ENSMUSG00000056359,D830013O20Rik,RIKEN cDNA D830013O20 gene,NCBIGene:380765,
ENSMUSG00000113582,Gm33929,"predicted gene, 33929",,
ENSMUSG00000114178,Gm48656,"predicted gene, 48656",,
ENSMUSG00000113099,Gm34016,"predicted gene, 34016",,
ENSMUSG00000034435,Tmem30b,transmembrane protein 30B,NCBIGene:238257,
ENSMUSG00000113800,2210039B01Rik,RIKEN cDNA 2210039B01 gene,NCBIGene:73644,
ENSMUSG00000021108,Prkch,"protein kinase C, eta",NCBIGene:18755,
ENSMUSG00000113321,Gm8075,predicted gene 8075,,
ENSMUSG00000113699,Gm48823,"predicted gene, 48823",,
ENSMUSG00000087700,Gm15283,predicted gene 15283,,
ENSMUSG00000021109,Hif1a,"hypoxia inducible factor 1, alpha subunit",NCBIGene:15251,
ENSMUSG00000021113,Snapc1,"small nuclear RNA activating complex, polypeptide 1",NCBIGene:75627,
